Trinidad Bay and Trinidad Beach Surface Temperature Data														
"Trinidad Bay, CA   41Deg 3.3'N   124Deg  8.8' W"														
"Trinidad Beach, CA   41Deg  3.6'N   124Deg  8.9' W"														
Data are collected by staff at Humboldt State University Marine Laboratory. 														
"Current funding provided by California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
******************* NOTE ********************														
This data has been checked for key entry errors only.														
It has not been analyzed for overall quality.														
Data uncertainties are flagged with the following codes:														
"0 = good data,"														
"1 = illegible entry,"														
"2 = data differs from other sources, ie. temperature vs. salinity records,"														
"3 = data uncertain,"														
"4 = leaky bottle,"														
5 = SIO Pier Chlorophyll Program Data.														
6 = sample collected from Trinidad Bay.														
Time flags indicate date or time uncertainties.														
Data flags indicate uncertainties with data.														
Time of sample collection available for 1990-current data only.														
Time records in Pacific Standard time zone (PST).														
Time records between 1990-2004 may vary by up to 1 hour with actual sample														
time since time zone was not recorded during these years.														
"**Temperature data for Mar 1, 2015 - July 27, 2016 may be off by +0.1-0.7�C due to"														
 thermometer issues.  These uncertain data are flagged with 3's in data flag column.***														
==================================================================================														
***PLEASE CITE & REFERENCE THIS PROGRAM AS FOLLOWS***														
Shore Stations Program with current funding provided by the														
"California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
2016	1	9	NaN	0	NaN	0	NaN	0						
2016	1	10	NaN	0	NaN	0	NaN	0						
2016	1	11	1001	0	11.7	3	11.7	3						
2016	1	12	1011	0	12.2	3	12.2	3						
2016	1	13	1434	0	12.1	3	12.2	3						
2016	1	14	1106	0	10.9	3	10.9	3						
2016	1	15	1406	0	11.5	3	11.9	3						
2016	1	16	NaN	0	NaN	0	NaN	0						
2016	1	17	NaN	0	NaN	0	NaN	0						
2016	1	18	917	0	11.8	3	NaN	0						
2016	1	19	1253	0	12.6	3	12.6	3						
2016	1	20	1812	0	11.6	3	12.0	3						
2016	1	21	811	0	11.9	3	12.3	3						
2016	1	22	1108	0	12.6	3	12.8	3						
2016	1	23	932	0	12.4	3	NaN	0						
2016	1	24	933	0	11.9	3	12.3	3						
2016	1	25	1303	0	12.4	3	12.6	3						
2016	1	26	1103	0	12.7	3	12.9	3						
2016	1	27	911	0	12.7	3	12.7	3						
2016	1	28	NaN	0	NaN	0	NaN	0						
2016	1	29	931	0	12.7	3	12.5	3						
2016	1	30	937	0	12.4	3	12.8	3						
2016	1	31	940	0	11.0	3	11.1	3						
2016	2	1	NaN	0	NaN	0	NaN	0						
2016	2	2	1110	0	11.5	3	12.6	3						
2016	2	3	858	0	11.6	3	11.6	3						
2016	2	4	800	0	11.1	3	11.4	3						
2016	2	5	919	0	11.3	3	11.6	3						
2016	2	6	924	0	11.9	3	11.2	3						
2016	2	7	906	0	11.6	3	11.8	3						
2016	2	8	NaN	0	NaN	0	NaN	0						
2016	2	9	1404	0	12.5	3	12.7	3						
2016	2	10	904	0	12.1	3	12.3	3						
2016	2	11	805	0	12.2	3	12.2	3						
2016	2	12	915	0	12.5	3	12.5	3						
2016	2	13	1132	0	12.6	3	12.9	3						
2016	2	14	938	0	12.7	3	13.5	3						
2016	2	15	NaN	0	NaN	0	NaN	0						
2016	2	16	1100	0	12.7	3	13.3	3						
2016	2	17	912	0	12.3	3	12.5	3						
2016	2	18	NaN	0	NaN	0	NaN	0						
2016	2	19	1412	0	12.1	3	NaN	3						
2016	2	20	928	0	11.4	3	11.1	3						
2016	2	21	NaN	0	NaN	0	NaN	0						
2016	2	22	1550	0	12.4	3	12.6	3						
2016	2	23	1122	0	12.3	3	12.3	3						
2016	2	24	803	0	11.7	3	11.8	3						
2016	2	25	802	0	11.9	3	11.5	3						
2016	2	26	920	0	12.3	3	12.3	3						
2016	2	27	1013	0	12.3	3	12.5	3						
2016	2	28	NaN	0	NaN	0	NaN	0						
2016	2	29	NaN	0	NaN	0	NaN	0						
2016	3	1	1357	0	12.3	3	12.7	3						
2016	3	2	852	0	12.3	3	12.4	3						
2016	3	3	820	0	12.7	3	11.9	3						
2016	3	4	912	0	13.0	3	NaN	0						
2016	3	5	941	0	13.4	3	NaN	0						
2016	3	6	940	0	12.2	3	NaN	0						
2016	3	7	NaN	0	NaN	0	NaN	0						
2016	3	8	1106	0	12.1	3	NaN	0						
2016	3	9	902	0	12.3	3	NaN	0						
2016	3	10	826	0	12.6	3	12.8	3						
2016	3	11	NaN	0	NaN	0	NaN	0						
2016	3	12	940	0	NaN	0	12.4	3						
2016	3	13	NaN	0	NaN	0	NaN	0						
2016	3	14	NaN	0	NaN	0	NaN	0						
2016	3	15	NaN	0	NaN	0	NaN	0						
2016	3	16	NaN	0	NaN	0	NaN	0						
2016	3	17	NaN	0	NaN	0	NaN	0						
2016	3	18	933	0	14.1	3	13.8	3						
2016	3	19	NaN	0	NaN	0	NaN	0						
2016	3	20	832	0	13.3	3	13.4	3						
2016	3	21	NaN	0	NaN	0	NaN	0						
2016	3	22	1116	0	13.3	3	14.6	3						
2016	3	23	809	0	12.6	3	12.9	3						
2016	3	24	716	0	12.6	3	13.0	3						
2016	3	25	920	0	12.8	3	13.1	3						
2016	3	26	836	0	12.5	3	12.7	3						
2016	3	27	828	0	12.4	3	12.6	3						
2016	3	28	1530	0	12.3	3	12.5	3						
2016	3	29	1307	0	10.9	3	13.4	3						
2016	3	30	845	0	10.8	3	11.6	3						
2016	3	31	800	0	11.4	3	11.9	3						
2016	4	1	NaN	0	NaN	0	NaN	0						
2016	4	2	826	0	12.3	3	12.3	3						
2016	4	3	835	0	12.1	3	12.2	3						
2016	4	4	NaN	0	NaN	0	NaN	0						
2016	4	5	1008	0	11.6	3	11.5	3						
2016	4	6	732	0	10.8	3	11.0	3						
2016	4	7	653	0	12.1	3	12.4	3						
2016	4	8	802	0	13.1	3	13.2	3						
2016	4	9	826	0	13.1	3	12.4	3						
2016	4	10	832	0	13.0	3	12.5	3						
2016	4	11	1522	0	13.3	3	13.1	3						
2016	4	12	1305	0	13.2	3	13.6	3						
2016	4	13	835	0	12.7	3	13.2	3						
2016	4	14	844	0	12.5	3	12.5	3						
2016	4	15	703	0	12.2	3	12.1	3						
2016	4	16	1153	0	14.6	3	14.5	3						
2016	4	17	830	0	13.6	3	14.0	3						
2016	4	18	NaN	0	NaN	0	NaN	0						
2016	4	19	1001	0	13.9	3	13.8	3						
2016	4	20	920	0	14.4	3	13.6	3						
2016	4	21	715	0	14.6	3	14.0	3						
2016	4	22	NaN	0	NaN	0	NaN	0						
2016	4	23	845	2	13.8	3	13.9	3						
2016	4	24	837	0	13.9	3	14.0	3						
2016	4	25	NaN	0	NaN	0	NaN	0						
2016	4	26	952	0	11.7	3	13.6	3						
2016	4	27	928	0	11.9	3	12.3	3						
2016	4	28	658	0	10.9	3	11.3	3						
2016	4	29	NaN	0	NaN	0	NaN	0						
2016	4	30	828	0	10.0	3	11.2	3						
2016	5	1	NaN	0	NaN	0	NaN	0						
2016	5	2	NaN	0	NaN	0	NaN	0						
2016	5	3	1007	0	11.7	3	10.9	3						
2016	5	4	819	0	11.3	3	11.3	3						
2016	5	5	1119	0	13.1	3	12.6	3						
2016	5	6	NaN	0	NaN	0	NaN	0						
2016	5	7	814	0	12.2	3	11.8	3						
2016	5	8	NaN	0	NaN	0	NaN	0						
2016	5	9	NaN	0	NaN	0	NaN	0						
2016	5	10	NaN	0	NaN	0	NaN	0						
2016	5	11	951	0	14.0	3	12.3	3						
2016	5	12	1137	0	13.7	3	12.9	3						
2016	5	13	813	0	13.0	3	12.6	3						
2016	5	14	806	0	13.3	3	12.8	3						
2016	5	15	NaN	0	NaN	0	NaN	0						
2016	5	16	NaN	0	NaN	0	NaN	0						
2016	5	17	820	0	11.5	3	11.3	3						
2016	5	18	904	0	11.6	3	11.2	3						
2016	5	19	933	0	10.2	3	11.0	3						
2016	5	20	NaN	0	NaN	0	NaN	0						
2016	5	21	NaN	0	NaN	0	NaN	0						
2016	5	22	NaN	0	NaN	0	NaN	0						
2016	5	23	NaN	0	NaN	0	NaN	0						
2016	5	24	1111	0	12.7	3	12.8	3						
2016	5	25	1303	0	13.9	3	13.2	3						
2016	5	26	1416	0	11.6	3	12.5	3						
2016	5	27	NaN	0	NaN	0	NaN	0						
2016	5	28	NaN	0	NaN	0	NaN	0						
2016	5	29	NaN	0	NaN	0	NaN	0						
2016	5	30	NaN	0	NaN	0	NaN	0						
2016	5	31	1620	0	12.7	3	12.4	3						
2016	6	1	1005	0	12.5	3	12.4	3						
2016	6	2	NaN	0	NaN	0	NaN	0						
2016	6	3	705	0	12.3	3	11.3	3						
2016	6	4	NaN	0	NaN	0	NaN	0						
2016	6	5	NaN	0	NaN	0	NaN	0						
2016	6	6	1038	0	12.2	3	11.9	3						
2016	6	7	1331	0	12.9	3	14.0	3						
2016	6	8	NaN	0	NaN	0	NaN	0						
2016	6	9	NaN	0	NaN	0	NaN	0						
2016	6	10	540	0	11.7	3	12.3	3						
2016	6	11	NaN	0	NaN	0	NaN	0						
2016	6	12	NaN	0	NaN	0	NaN	0						
2016	6	13	831	0	11.5	3	11.5	3						
2016	6	14	NaN	0	NaN	0	NaN	0						
2016	6	15	915	0	11.2	3	11.3	3						
2016	6	16	940	0	13.3	3	12.0	3						
2016	6	17	907	0	13.1	3	11.9	3						
2016	6	18	NaN	0	NaN	0	NaN	0						
2016	6	19	830	0	13.3	3	13.2	3						
2016	6	20	1017	0	13.5	3	14.0	3						
2016	6	21	1140	0	12.7	3	13.5	3						
2016	6	22	925	0	12.1	3	12.2	3						
2016	6	23	1325	0	14.1	3	14.3	3						
2016	6	24	707	0	11.2	3	11.5	3						
2016	6	25	NaN	0	NaN	0	NaN	0						
2016	6	26	NaN	0	NaN	0	NaN	0						
2016	6	27	1235	0	12.5	3	16.3	3						
2016	6	28	841	0	11.1	3	11.5	3						
2016	6	29	1047	0	11.5	3	11.6	3						
2016	6	30	1630	0	11.1	3	10.9	3						
2016	7	1	730	0	11.0	3	10.1	3						
2016	7	2	NaN	0	NaN	0	NaN	0						
2016	7	3	NaN	0	NaN	0	NaN	0						
2016	7	4	NaN	0	NaN	0	NaN	0						
2016	7	5	1035	0	12.3	3	12.2	3						
2016	7	6	1015	0	12.7	3	12.8	3						
2016	7	7	NaN	0	NaN	0	NaN	0						
2016	7	8	903	0	13.2	3	11.2	3						
2016	7	9	NaN	0	NaN	0	NaN	0						
2016	7	10	NaN	0	NaN	0	NaN	0						
2016	7	11	1106	0	12.7	3	14.6	3						
2016	7	12	1547	0	13.5	3	13.3	3						
2016	7	13	1255	0	12.1	3	12.8	3						
2016	7	14	919	0	11.6	3	11.0	3						
2016	7	15	1347	0	12.5	3	13.3	3						
2016	7	16	NaN	0	NaN	0	NaN	0						
2016	7	17	NaN	0	NaN	0	NaN	0						
2016	7	18	NaN	0	NaN	0	NaN	0						
2016	7	19	NaN	0	NaN	0	NaN	0						
2016	7	20	NaN	0	NaN	0	NaN	0						
2016	7	21	NaN	0	NaN	0	NaN	0						
2016	7	22	NaN	0	NaN	0	NaN	0						
2016	7	23	NaN	0	NaN	0	NaN	0						
2016	7	24	NaN	0	NaN	0	NaN	0						
2016	7	25	NaN	0	NaN	0	NaN	0						
2016	7	26	NaN	0	NaN	0	NaN	0						
2016	7	27	900	0	12.4	3	12.0	3						
2016	7	28	854	0	12.9	0	12.1	0						
2016	7	29	1230	0	13.4	0	13.7	0						
2016	7	30	NaN	0	NaN	0	NaN	0						
2016	7	31	NaN	0	NaN	0	NaN	0						
2016	8	1	NaN	0	NaN	0	NaN	0						
2016	8	2	NaN	0	NaN	0	NaN	0						
2016	8	3	NaN	0	NaN	0	NaN	0						
2016	8	4	1205	0	13.9	0	12.6	0						
2016	8	5	1725	0	13.8	0	13.8	0						
2016	8	6	NaN	0	NaN	0	NaN	0						
2016	8	7	NaN	0	NaN	0	NaN	0						
2016	8	8	NaN	0	NaN	0	NaN	0						
2016	8	9	1316	0	17.8	0	12.7	0						
2016	8	10	1636	0	13.5	0	12.7	0						
2016	8	11	1340	0	14.0	0	12.4	0						
2016	8	12	1230	0	14.9	0	13.7	0						
2016	8	13	NaN	0	NaN	0	NaN	0						
2016	8	14	NaN	0	NaN	0	NaN	0						
2016	8	15	825	0	14.0	0	12.6	0						
2016	8	16	NaN	0	NaN	0	NaN	0						
2016	8	17	1023	0	14.0	0	12.3	0						
2016	8	18	1028	0	13.7	0	12.1	0						
2016	8	19	1005	0	13.9	0	12.6	0						
2016	8	20	NaN	0	NaN	0	NaN	0						
2016	8	21	NaN	0	NaN	0	NaN	0						
2016	8	22	1045	0	14.8	0	13.1	0						
2016	8	23	1025	0	14.1	0	14.0	0						
2016	8	24	800	0	14.1	0	13.6	0						
2016	8	25	752	0	13.8	0	13.3	0						
2016	8	26	1310	0	14.5	0	14.3	0						
2016	8	27	NaN	0	NaN	0	NaN	0						
2016	8	28	817	0	13.4	0	12.9	0						
2016	8	29	1018	0	13.1	0	14.2	0						
2016	8	30	1205	0	15.4	0	15.5	0						
2016	8	31	851	0	14.4	0	14.4	0						
2016	9	1	738	0	13.0	0	13.7	0						
2016	9	2	1235	0	12.9	0	13.9	0						
2016	9	3	830	0	13.1	0	12.9	0						
2016	9	4	730	0	12.6	0	12.4	0						
2016	9	5	739	0	11.5	0	11.7	0						
2016	9	6	1350	0	11.8	0	13.5	0						
2016	9	7	832	0	11.5	0	11.7	0						
2016	9	8	658	0	11.1	0	10.8	0						
2016	9	9	1336	0	13.1	0	13.1	0						
2016	9	10	852	0	NaN	0	12.9	0						
2016	9	11	NaN	0	NaN	0	NaN	0						
2016	9	12	1049	0	13.5	0	13.2	0						
2016	9	13	1218	0	13.5	0	13.7	0						
2016	9	14	1125	0	13.4	0	13.8	0						
2016	9	15	731	0	12.7	0	12.8	0						
2016	9	16	1553	0	12.8	0	13.2	0						
2016	9	17	817	0	12.6	0	12.1	0						
2016	9	18	745	0	12.2	0	12.3	0						
2016	9	19	1028	0	NaN	0	11.8	0						
2016	9	20	1220	0	12.5	0	11.9	0						
2016	9	21	807	0	11.6	0	11.7	0						
2016	9	22	732	0	12.2	0	12.3	0						
2016	9	23	1320	0	13.2	0	12.1	0						
2016	9	24	754	0	12.9	0	12.1	0						
2016	9	25	1615	0	NaN	0	12.7	0						
2016	9	26	1035	0	13.8	0	12.7	0						
2016	9	27	930	0	12.4	0	11.6	0						
2016	9	28	NaN	0	NaN	0	NaN	0						
2016	9	29	742	0	12.2	0	11.6	0						
2016	9	30	1100	0	12.6	0	11.9	0						
2016	10	1	800	0	13.1	0	11.7	0						
2016	10	2	838	0	NaN	0	NaN	0						
2016	10	3	NaN	0	NaN	0	NaN	0						
2016	10	4	NaN	0	NaN	0	NaN	0						
2016	10	5	NaN	0	NaN	0	NaN	0						
2016	10	6	846	0	12.2	0	12.2	0						
2016	10	7	1256	0	12.0	0	12.1	0						
2016	10	8	833	0	11.8	0	11.6	0						
2016	10	9	757	0	11.5	0	11.7	0						
2016	10	10	1055	0	12.6	0	12.3	0						
2016	10	11	1132	0	12.7	0	12.5	0						
2016	10	12	NaN	0	NaN	0	NaN	0						
2016	10	13	804	0	12.6	0	12.2	0						
2016	10	14	1329	0	13.2	0	NaN	0						
2016	10	15	NaN	0	NaN	0	NaN	0						
2016	10	16	NaN	0	NaN	0	NaN	0						
2016	10	17	1045	0	13.4	0	13.9	0						
2016	10	18	1311	0	14.6	0	14.9	0						
2016	10	19	NaN	0	NaN	0	NaN	0						
2016	10	20	802	0	13.7	0	14.0	0						
2016	10	21	1417	0	14.2	0	14.1	0						
2016	10	22	805	0	13.2	0	12.5	0						
2016	10	23	848	0	13.3	0	13.1	0						
2016	10	24	NaN	0	NaN	0	NaN	0						
2016	10	25	1401	2	13.1	0	NaN	0						
2016	10	26	NaN	0	NaN	0	NaN	0						
2016	10	27	806	0	13.7	0	14.4	0						
2016	10	28	1349	0	14.3	0	14.8	0						
2016	10	29	825	0	14.5	0	14.7	0						
2016	10	30	NaN	0	NaN	0	NaN	0						
2016	10	31	NaN	0	NaN	0	NaN	0						
2016	11	1	1120	0	14.3	0	15.5	0						
2016	11	2	NaN	0	NaN	0	NaN	0						
2016	11	3	750	0	13.9	0	13.9	0						
2016	11	4	1525	0	14.3	0	14.4	0						
2016	11	5	NaN	0	NaN	0	NaN	0						
2016	11	6	921	0	14.2	0	14.5	0						
2016	11	7	1236	0	14.9	0	14.9	0						
2016	11	8	NaN	0	NaN	0	NaN	0						
2016	11	9	NaN	0	NaN	0	NaN	0						
2016	11	10	NaN	0	NaN	0	NaN	0						
2016	11	11	956	0	14.6	0	NaN	0						
2016	11	12	944	0	15.1	0	15.0	0						
2016	11	13	1018	0	14.4	0	NaN	0						
2016	11	14	1150	0	14.7	0	NaN	0						
2016	11	15	NaN	0	NaN	0	NaN	0						
2016	11	16	NaN	0	NaN	0	NaN	0						
2016	11	17	814	0	13.3	0	13.2	0						
2016	11	18	1600	0	13.2	0	NaN	0						
2016	11	19	NaN	0	NaN	0	NaN	0						
2016	11	20	1015	0	13.2	0	NaN	0						
2016	11	21	NaN	0	NaN	0	NaN	0						
2016	11	22	NaN	0	NaN	0	NaN	0						
2016	11	23	1056	0	12.9	0	13.4	0						
2016	11	24	NaN	0	NaN	0	NaN	0						
2016	11	25	1303	0	12.8	0	NaN	0						
2016	11	26	NaN	0	NaN	0	NaN	0						
2016	11	27	NaN	0	NaN	0	NaN	0						
2016	11	28	NaN	0	NaN	0	NaN	0						
2016	11	29	1140	0	13.3	0	NaN	0						
2016	11	30	NaN	0	NaN	0	NaN	0						
2016	12	1	857	0	12.3	0	12.7	0						
2016	12	2	1452	0	12.3	0	12.5	0						
2016	12	3	NaN	0	NaN	0	NaN	0						
2016	12	4	NaN	0	NaN	0	NaN	0						
2016	12	5	NaN	0	NaN	0	NaN	0						
2016	12	6	1207	0	11.1	0	11.9	0						
2016	12	7	NaN	0	NaN	0	NaN	0						
2016	12	8	850	0	10.9	0	11.7	0						
2016	12	9	1437	0	12.0	0	12.3	0						
2016	12	10	NaN	0	NaN	0	NaN	0						
2016	12	11	NaN	0	NaN	0	NaN	0						
2016	12	12	NaN	0	NaN	0	NaN	0						
2016	12	13	1018	0	11.0	0	11.8	0						
2016	12	14	NaN	0	NaN	0	NaN	0						
2016	12	15	NaN	0	NaN	0	NaN	0						
2016	12	16	1506	0	11.0	0	10.9	0						
2016	12	17	NaN	0	NaN	0	NaN	0						
2016	12	18	NaN	0	NaN	0	NaN	0						
2016	12	19	NaN	0	NaN	0	NaN	0						
2016	12	20	927	0	10.2	0	10.8	0						
2016	12	21	1033	0	11.0	0	11.5	0						
2016	12	22	1008	0	10.5	0	10.9	0						
2016	12	23	NaN	0	NaN	0	NaN	0						
2016	12	24	NaN	0	NaN	0	NaN	0						
2016	12	25	NaN	0	NaN	0	NaN	0						
2016	12	26	NaN	0	NaN	0	NaN	0						
2016	12	27	1153	0	10.0	0	10.5	0						
2016	12	28	NaN	0	NaN	0	NaN	0						
2016	12	29	NaN	0	NaN	0	NaN	0						
2016	12	30	NaN	0	NaN	0	NaN	0						
2016	12	31	NaN	0	NaN	0	NaN	0						
2017	1	1	NaN	0	NaN	0	NaN	0						
2017	1	2	NaN	0	NaN	0	NaN	0						
2017	1	3	NaN	0	NaN	0	NaN	0						
2017	1	4	1135	0	9.1	0	10.2	0						
2017	1	5	NaN	0	NaN	0	NaN	0						
2017	1	6	1517	0	8.6	0	9.8	0						
2017	1	7	NaN	0	NaN	0	NaN	0						
2017	1	8	NaN	0	NaN	0	NaN	0						
2017	1	9	1018	0	9.3	0	10.0	0						
2017	1	10	1318	0	NaN	0	NaN	0						
2017	1	11	1004	0	10.2	0	10.7	0						
2017	1	12	1212	0	10.2	0	10.7	0						
2017	1	13	1100	0	9.2	0	9.9	0						
2017	1	14	NaN	0	NaN	0	NaN	0						
2017	1	15	NaN	0	NaN	0	NaN	0						
2017	1	16	NaN	0	NaN	0	NaN	0						
2017	1	17	952	0	10.0	0	10.5	0						
2017	1	18	1129	0	NaN	0	11.0	0						
2017	1	19	1100	0	10.7	0	NaN	0						
2017	1	20	1400	0	NaN	0	NaN	0						
2017	1	21	NaN	0	NaN	0	NaN	0						
2017	1	22	NaN	0	NaN	0	NaN	0						
2017	1	23	NaN	0	NaN	0	NaN	0						
2017	1	24	1605	0	10.6	0	11.1	0						
2017	1	25	1119	0	10.1	0	11.2	0						
2017	1	26	1100	0	10.1	0	NaN	0						
2017	1	27	1712	0	10.3	0	NaN	0						
2017	1	28	NaN	0	NaN	0	NaN	0						
2017	1	29	NaN	0	NaN	0	NaN	0						
2017	1	30	NaN	0	NaN	0	NaN	0						
2017	1	31	1555	0	10.4	0	10.7	0						
2017	2	1	1105	0	10.5	0	11.1	0						
2017	2	2	1050	0	10.8	0	11.3	0						
2017	2	3	NaN	0	NaN	0	NaN	0						
2017	2	4	NaN	0	NaN	0	NaN	0						
2017	2	5	926	0	10.9	0	11.4	0						
2017	2	6	NaN	0	NaN	0	NaN	0						
2017	2	7	1555	0	11.3	0	12.4	0						
2017	2	8	1152	0	NaN	0	11.9	0						
2017	2	9	1105	0	11.6	0	12.0	0						
2017	2	10	NaN	0	NaN	0	NaN	0						
2017	2	11	1715	0	NaN	0	11.2	0						
2017	2	12	NaN	0	NaN	0	NaN	0						
2017	2	13	NaN	0	NaN	0	NaN	0						
2017	2	14	1607	0	11.6	0	11.6	0						
2017	2	15	1035	0	11.6	0	11.8	0						
2017	2	16	NaN	0	NaN	0	NaN	0						
2017	2	17	NaN	0	NaN	0	NaN	0						
2017	2	18	NaN	0	NaN	0	NaN	0						
2017	2	19	921	0	11.1	0	11.8	0						
2017	2	20	NaN	0	NaN	0	NaN	0						
2017	2	21	1624	0	11.2	0	11.7	0						
2017	2	22	1045	0	10.6	0	11.2	0						
2017	2	23	1146	0	10.1	0	10.7	0						
2017	2	24	NaN	0	NaN	0	NaN	0						
2017	2	25	933	0	10.2	0	10.9	0						
2017	2	26	NaN	0	NaN	0	NaN	0						
2017	2	27	NaN	0	NaN	0	NaN	0						
2017	2	28	1603	0	10.5	0	10.9	0						
2017	3	1	1051	0	10.2	0	11.1	0						
2017	3	2	1141	0	10.5	0	11.1	0						
2017	3	3	1428	0	10.5	0	11.1	0						
2017	3	4	NaN	0	NaN	0	NaN	0						
2017	3	5	NaN	0	NaN	0	NaN	0						
2017	3	6	NaN	0	NaN	0	NaN	0						
2017	3	7	NaN	0	NaN	0	NaN	0						
2017	3	8	NaN	0	NaN	0	NaN	0						
2017	3	9	1309	0	11.4	0	11.5	0						
2017	3	10	NaN	0	NaN	0	NaN	0						
2017	3	11	930	0	11.2	0	11.7	0						
2017	3	12	NaN	0	NaN	0	NaN	0						
2017	3	13	NaN	0	NaN	0	NaN	0						
2017	3	14	NaN	0	NaN	0	NaN	0						
2017	3	15	NaN	0	NaN	0	NaN	0						
2017	3	16	NaN	0	NaN	0	NaN	0						
2017	3	17	912	0	10.9	0	11.7	0						
2017	3	18	NaN	0	NaN	0	NaN	0						
2017	3	19	932	0	11.4	0	11.6	0						
2017	3	20	NaN	0	NaN	0	NaN	0						
2017	3	21	1521	0	12.3	0	12.4	0						
2017	3	22	NaN	0	NaN	0	NaN	0						
2017	3	23	1004	0	11.5	0	12.0	0						
2017	3	24	NaN	0	NaN	0	NaN	0						
2017	3	25	NaN	0	NaN	0	NaN	0						
2017	3	26	NaN	0	NaN	0	NaN	0						
2017	3	27	NaN	0	NaN	0	NaN	0						
2017	3	28	1538	0	12.0	0	12.6	0						
2017	3	29	1016	0	NaN	0	11.8	0						
2017	3	30	1036	0	11.8	0	12.3	0						
2017	3	31	NaN	0	NaN	0	NaN	0						
2017	4	1	827	0	10.9	0	12.5	0						
2017	4	2	822	0	10.8	0	11.7	0						
2017	4	3	NaN	0	NaN	0	NaN	0						
2017	4	4	1520	0	12.1	0	12.4	0						
2017	4	5	NaN	0	NaN	0	NaN	0						
2017	4	6	1008	0	11.2	0	NaN	0						
2017	4	7	NaN	0	NaN	0	NaN	0						
2017	4	8	1006	0	10.3	0	10.6	0						
2017	4	9	NaN	0	NaN	0	NaN	0						
2017	4	10	NaN	0	NaN	0	NaN	0						
2017	4	11	NaN	0	NaN	0	NaN	0						
2017	4	12	1005	0	11.3	0	11.5	0						
2017	4	13	NaN	0	NaN	0	NaN	0						
2017	4	14	NaN	0	NaN	0	NaN	0						
2017	4	15	NaN	0	NaN	0	NaN	0						
2017	4	16	NaN	0	NaN	0	NaN	0						
2017	4	17	NaN	0	NaN	0	NaN	0						
2017	4	18	1527	0	14.6	0	13.0	0						
2017	4	19	952	0	NaN	0	12.0	0						
2017	4	20	900	0	12.2	0	12.6	0						
2017	4	21	NaN	0	NaN	0	NaN	0						
2017	4	22	730	0	12.5	0	12.6	0						
2017	4	23	NaN	0	NaN	0	NaN	0						
2017	4	24	NaN	0	NaN	0	NaN	0						
2017	4	25	NaN	0	NaN	0	NaN	0						
2017	4	26	NaN	0	NaN	0	NaN	0						
2017	4	27	1025	0	12.1	0	12.1	0						
2017	4	28	1400	0	11.0	0	11.9	0						
2017	4	29	818	0	10.8	0	11.8	0						
2017	4	30	NaN	0	NaN	0	NaN	0						
2017	5	1	NaN	0	NaN	0	NaN	0						
2017	5	2	1500	0	10.7	0	13.4	0						
2017	5	3	1015	0	11.5	0	14.0	0						
2017	5	4	1017	0	11.5	0	12.2	0						
2017	5	5	NaN	0	NaN	0	NaN	0						
2017	5	6	750	0	9.2	0	9.8	0						
2017	5	7	800	0	8.4	0	9.3	0						
2017	5	8	NaN	0	NaN	0	NaN	0						
2017	5	9	NaN	0	NaN	0	NaN	0						
2017	5	10	NaN	0	NaN	0	NaN	0						
2017	5	11	NaN	0	NaN	0	NaN	0						
2017	5	12	NaN	0	NaN	0	NaN	0						
2017	5	13	NaN	0	NaN	0	NaN	0						
2017	5	14	NaN	0	NaN	0	NaN	0						
2017	5	15	1506	0	9.8	0	10.6	0						
2017	5	16	1516	0	9.9	0	10.5	0						
2017	5	17	1632	0	10.3	0	10.7	0						
2017	5	18	1330	0	10.0	0	13.3	0						
2017	5	19	1132	0	10.4	0	12.5	0						
2017	5	20	NaN	0	NaN	0	NaN	0						
2017	5	21	NaN	0	NaN	0	NaN	0						
2017	5	22	NaN	0	NaN	0	NaN	0						
2017	5	23	943	0	12.3	0	11.3	0						
2017	5	24	NaN	0	NaN	0	NaN	0						
2017	5	25	NaN	0	NaN	0	NaN	0						
2017	5	26	NaN	0	NaN	0	NaN	0						
2017	5	27	NaN	0	NaN	0	NaN	0						
2017	5	28	NaN	0	NaN	0	NaN	0						
2017	5	29	NaN	0	NaN	0	NaN	0						
2017	5	30	NaN	0	NaN	0	NaN	0						
2017	5	31	NaN	0	NaN	0	NaN	0						
2017	6	1	NaN	0	NaN	0	NaN	0						
2017	6	2	NaN	0	NaN	0	NaN	0						
2017	6	3	NaN	0	NaN	0	NaN	0						
2017	6	4	NaN	0	NaN	0	NaN	0						
2017	6	5	NaN	0	NaN	0	NaN	0						
2017	6	6	NaN	0	NaN	0	NaN	0						
2017	6	7	1022	0	10.9	0	11.1	0						
2017	6	8	NaN	0	NaN	0	NaN	0						
2017	6	9	NaN	0	NaN	0	NaN	0						
2017	6	10	NaN	0	NaN	0	NaN	0						
2017	6	11	NaN	0	NaN	0	NaN	0						
2017	6	12	1435	0	11.3	0	12.5	0						
2017	6	13	NaN	0	NaN	0	NaN	0						
2017	6	14	NaN	0	NaN	0	NaN	0						
2017	6	15	NaN	0	NaN	0	NaN	0						
2017	6	16	1407	0	12.6	0	13.0	0						
2017	6	17	NaN	0	NaN	0	NaN	0						
2017	6	18	NaN	0	NaN	0	NaN	0						
2017	6	19	756	0	11.5	0	11.3	0						
2017	6	20	932	0	10.9	0	11.6	0						
2017	6	21	929	0	11.6	0	11.1	0						
